,age,c_charge_degree,race,age_cat,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
0,69,0,0,0,0,0,-1.0,1,0,0
1,34,0,0,1,0,0,-1.0,3,1,1
2,24,0,0,2,0,4,-1.0,4,1,1
5,44,1,0,1,0,0,0.0,1,0,0
6,41,0,1,1,0,14,-1.0,6,1,1
7,43,0,0,1,0,3,-1.0,4,0,0
8,39,1,1,1,1,0,-1.0,1,0,0
10,27,0,1,1,0,0,-1.0,4,0,0
11,23,1,0,2,0,3,0.0,6,1,1
12,37,1,1,1,1,0,0.0,1,0,0
13,41,0,0,1,0,0,-1.0,4,0,0
14,47,0,1,0,1,1,-20.0,1,1,1
15,31,0,0,1,0,7,22.0,3,1,1
16,37,1,1,1,0,0,0.0,1,0,0
17,25,0,0,1,0,3,-1.0,10,0,0
18,31,0,1,1,0,6,-1.0,5,1,1
19,31,0,1,1,0,5,-1.0,3,1,1
20,64,0,0,0,0,13,-1.0,6,1,1
21,21,0,0,2,0,1,-1.0,9,1,1
22,27,1,1,1,0,0,0.0,2,1,1
23,21,0,1,2,1,0,-2.0,4,0,0
24,24,0,1,2,0,1,0.0,4,1,1
25,43,1,1,1,0,1,-1.0,1,0,0
26,32,1,0,1,0,0,-1.0,3,0,0
27,27,0,0,1,0,8,-1.0,3,1,1
29,26,0,0,1,0,5,-1.0,7,1,1
30,33,0,0,1,0,0,0.0,10,1,1
31,30,0,1,1,0,9,0.0,9,1,1
32,32,0,0,1,0,4,-1.0,8,1,1
33,55,0,1,0,0,0,-1.0,1,0,0
34,49,0,0,0,0,7,-1.0,3,1,1
36,33,1,1,1,1,4,-1.0,5,1,1
37,24,1,1,2,0,1,0.0,2,1,1
38,34,0,0,1,0,21,0.0,9,1,1
39,29,1,1,1,0,0,0.0,2,0,0
40,21,0,0,2,1,2,-1.0,8,0,0
41,51,1,0,0,0,2,-1.0,1,0,0
42,29,1,1,1,0,2,-1.0,2,1,1
43,51,0,0,0,1,7,-1.0,2,0,0
